st,search term,url,date,title,assignee,cited by
2007,acer,https://patents.google.com/patent/US8427476B2/en,2009-12-14,"[<title>US8427476B2 - System and method for automatically adjusting visual setting of display device 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (35)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8698673B2/en,2009-06-29,"[<title>US8698673B2 - Multiband antenna 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (37)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8089760B2/en,2009-08-11,"[<title>US8089760B2 - Notebook computer 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (31)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8320470B2/en,2009-06-23,"[<title>US8320470B2 - Method for spatial error concealment 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (30)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8442049B2/en,2009-06-23,"[<title>US8442049B2 - Base station and attaching method thereof 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (26)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8407717B2/en,2009-06-11,"[<title>US8407717B2 - Parallel processing method for dual operating system 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>, <dd class=""style-scope patent-result"">
                    
    Insyde Software Corp
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (25)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8373604B2/en,2009-10-26,"[<title>US8373604B2 - Multiband mobile communication device and antenna thereof 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (22)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US8519984B2/en,2009-08-20,"[<title>US8519984B2 - Input device and display system having the same 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (18)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US9074899B2/en,2009-05-11,"[<title>US9074899B2 - Object guiding method, mobile viewing system and augmented reality system 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (13)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
2007,acer,https://patents.google.com/patent/US20110060986A1/en,2009-09-10,"[<title>US20110060986A1 - Method for Controlling the Display of a Touch Screen, User Interface of the Touch Screen, and an Electronic Device using The Same 
        - Google Patents</title>]","[<dd class=""style-scope patent-result"">
                    
    Acer Inc
  
                  </dd>]","<h3 class=""scroll-target style-scope patent-result"" id=""citedBy"">
              Cited By (32)
              <a class=""style-scope patent-result"" href=""#title""><iron-icon class=""style-scope patent-result x-scope iron-icon-0"" icon=""arrow-drop-up""><svg class=""style-scope iron-icon"" focusable=""false"" preserveaspectratio=""xMidYMid meet"" style=""pointer-events: none; display: block; width: 100%; height: 100%;"" viewbox=""0 0 24 24""><g class=""style-scope iron-icon""><path class=""style-scope iron-icon"" d=""M7 14l5-5 5 5z""></path></g></svg>
</iron-icon></a>
</h3>"
